lang,concept_id,phoneme_id,phoneme,phoneme_len,phoneme_loss
Aardenburg Ze,287,1383,s x ɛ ɾ ə p,7,3.8066837787628174
Aardenburg Ze,294,1390,s t i f,5,4.390007019042969
Aardenburg Ze,309,1406,v ɾ i,4,3.4969234466552734
Aardenburg Ze,315,1414,z ɔ x t ə,6,3.9903249740600586
Aardenburg Ze,337,1437,b ɾ ɑ i,5,3.6077523231506348
Aardenburg Ze,344,1444,d i n,4,3.8087010383605957
Aardenburg Ze,353,1453,d ə ɾ ə v m,7,4.052369117736816
Aardenburg Ze,357,1457,ɦ a p m,5,4.3728346824646
Aardenburg Ze,369,1469,ʔ a u,4,4.583427429199219
Aardenburg Ze,371,1471,j ə k ŋ,5,4.392662525177002
Aardenburg Ze,374,1474,k ø ɾ ə n,6,4.096774578094482
Aardenburg Ze,382,1482,k ɾ ɑ k ŋ,6,3.2591493129730225
Aardenburg Ze,387,1487,ɫ a t n,5,4.371154308319092
Aardenburg Ze,389,1489,ɫ i ə r n,6,3.5538790225982666
Aardenburg Ze,398,1498,m i ə n,5,3.5279953479766846
Aardenburg Ze,420,1520,s x ə d n,6,4.278130054473877
Aardenburg Ze,425,1525,s ɫ y t n,6,3.4964420795440674
Aardenburg Ze,439,1539,s t e k ŋ,6,3.317093849182129
Aardenburg Ze,480,1581,z u k ŋ,5,3.5355238914489746
Aardenburg Ze,482,1583,z a u t n,6,3.4718074798583984
Aardenburg Ze,485,1586,z w ɛ m,5,4.4923624992370605
Aardenburg Ze,520,1622,ʔ ɔ m,4,3.8074071407318115
Aardenburg Ze,528,1630,t ə s n,5,4.420547962188721
Aardenburg Ze,541,1643,w u n s d ɑ ɦ,8,5.164954662322998
Aardenburg Ze,546,1648,s e v ə n t ə x,9,4.815932273864746
Aarlanderveen ZH,5,1656,b a r d ə,6,3.188680648803711
Aarlanderveen ZH,23,1675,d a k ə,5,3.2042770385742188
Aarlanderveen ZH,29,1681,d i f ə n,6,4.086488723754883
Aarlanderveen ZH,34,1687,d ʌ ɥ ʋ ə,6,4.468227863311768
Aarlanderveen ZH,36,1689,ʔ e u w ə,6,3.666630744934082
Aarlanderveen ZH,43,1696,x ɒ l,4,4.351614952087402
Aarlanderveen ZH,59,1711,ɦ e i m ə l,7,3.5538196563720703
Aarlanderveen ZH,72,1724,k a l ə f ə r s,9,3.5892155170440674
Aarlanderveen ZH,74,1726,k a m ə r s,7,3.36543869972229
Aarlanderveen ZH,76,1728,k a r ə,5,3.098906993865967
Aarlanderveen ZH,77,1729,k a s t ə,6,3.3066251277923584
Aarlanderveen ZH,81,1733,k ɛ r ə f ə l,8,3.7265214920043945
Aarlanderveen ZH,83,1735,k l a f ə r,7,3.8491969108581543
Aarlanderveen ZH,91,1742,k o r t s,6,5.437614440917969
Aarlanderveen ZH,105,1756,m a n d ə,6,3.2249441146850586
Aarlanderveen ZH,107,1758,m a z ə l ə,7,3.5294418334960938
Aarlanderveen ZH,108,1759,m a i,4,4.93929386138916
Aarlanderveen ZH,118,1769,n a l d ə,6,4.466862201690674
Aarlanderveen ZH,124,1775,p a d ə,5,3.3614628314971924
Aarlanderveen ZH,129,1780,ʔ ə m p e i p ə r,10,3.934436798095703
Aarlanderveen ZH,143,1794,r o u k,5,3.5447616577148438
Aarlanderveen ZH,155,1807,s m e i d ə n,8,3.634676456451416
Aarlanderveen ZH,166,1819,s ʌ ɥ k ə r,7,4.250250339508057
Aarlanderveen ZH,208,1862,z ɪ k t ə s,7,4.852909088134766
Aarlanderveen ZH,226,1880,d r o u x,6,3.2607457637786865
Aarlanderveen ZH,231,1885,ʔ a i x ə,6,3.1044139862060547
Aarlanderveen ZH,235,1889,f l a u,5,4.279499530792236
Aarlanderveen ZH,261,1915,k ʋ a t,5,4.589595794677734
Aarlanderveen ZH,263,1917,l a t,4,3.4924654960632324
Aarlanderveen ZH,267,1921,l e i x,5,3.0555031299591064
Aarlanderveen ZH,278,1932,p r o u p ə r,8,3.6115875244140625
Aarlanderveen ZH,285,1939,s x e i f,6,3.0069968700408936
Aarlanderveen ZH,287,1941,s x ɛ r ə p,7,3.711963176727295
Aarlanderveen ZH,294,1948,s t a i f,6,3.4850127696990967
Aarlanderveen ZH,309,1964,f r a i,5,3.5049514770507812
Aarlanderveen ZH,315,1972,z a x t,5,3.438166379928589
Aarlanderveen ZH,337,1995,b r a d ə,6,3.1834871768951416
