lang,avg_len,shannon,test_shannon,test_loss,test_acc,best_epoch,val_loss,val_acc
Havelte Dr,4.7368421052631575,4.636977244315406,4.568518913306117,4.2367907072368425,0.15902140736579895,24,5.72085428237915,0.16333334147930145
Heerde Gl,4.571428571428571,4.723601276497033,4.7080328752012885,4.543722425188337,0.15705128014087677,35,5.995335578918457,0.13898305594921112
Heerewaarden Gl,4.796296296296297,4.5298778759668945,4.4590275651477285,4.270988746925637,0.17252396047115326,23,5.8760151863098145,0.1746031790971756
Hei- en Boeicop ZH,5.0181818181818185,4.550970992386395,4.446917526251394,4.107879083806818,0.16918429732322693,27,5.856842517852783,0.1708860844373703
Heinkenszand Ze,5.12280701754386,4.5432796595075695,4.471754371119592,4.116759718510142,0.15759313106536865,27,5.81160831451416,0.15887850522994995
Heino Ov,4.385964912280702,4.648205792698078,4.644193493553074,4.517570629454496,0.15309445559978485,30,6.133820056915283,0.13058419525623322
Hellendoorn Ov,4.208333333333333,4.730093202259294,4.448885454923373,4.976853052775065,0.1600000113248825,34,6.464664936065674,0.18681319057941437
Hellevoetsluis ZH,5.125,4.57887783250638,4.475335013544192,3.9417087009974887,0.1428571492433548,25,5.351034164428711,0.16060605645179749
Helmond NB,4.767857142857143,4.452434899956545,4.4022172914315805,4.2321608407156805,0.15170277655124664,23,5.718323707580566,0.20000000298023224
Hengelo Gl,4.947368421052632,4.557563679044874,4.509514722983623,4.34876853541324,0.14454276859760284,32,5.844447135925293,0.13225805759429932
Herkingen ZH,4.964912280701754,4.4073101355112065,4.287958791417284,3.89944350928591,0.1558823585510254,25,5.459772109985352,0.1630094051361084
Heteren Gl,5.0,4.592354333289852,4.488589917543684,4.217774824662642,0.16363635659217834,22,5.9067463874816895,0.18530350923538208
Hierden Gl,4.859649122807017,4.612174097250092,4.561980114674732,4.2225593433045505,0.14071856439113617,29,6.07238245010376,0.16778524219989777
Hilvarenbeek NB,4.631578947368421,4.609100923883077,4.552295930245276,4.0349281712582235,0.1838006228208542,23,5.550259590148926,0.18543046712875366
Hoedekenskerke Ze,4.912280701754386,4.520148482878452,4.413081608409027,4.189383523506031,0.14540059864521027,32,5.709321022033691,0.13029316067695618
Hoenderloo Gl,5.053571428571429,4.468604539813196,4.368671067481947,4.073819296700614,0.16519173979759216,27,5.615375518798828,0.17475728690624237
Hollandsche Veld Dr,4.785714285714286,4.568732065046183,4.523999097134852,4.025818416050503,0.1697530895471573,23,5.640803337097168,0.1599999964237213
Hooghalen Dr,4.508771929824562,4.625858986965103,4.49883610523719,4.056378280907347,0.1751592457294464,27,5.6054277420043945,0.15699657797813416
Hoonhorst Ov,4.56140350877193,4.681662712887649,4.614407691708506,4.484142102693257,0.15457414090633392,26,6.068031311035156,0.1324041783809662
Hoorn NH,4.912280701754386,4.4800357075537685,4.4148308233967635,4.1022266588713,0.17507418990135193,24,5.73160457611084,0.18771331012248993
