"","lang","avg_len","lstm","longitude","latitude"
"144","Fijnaart NB",5.32511210762332,2.7154598236084,4.46533,51.6363
"145","Finsterwolde Gn",4.72222222222222,2.98125648498535,7.09872,53.1947
"146","Formerum Fr - Formearum Fr",4.76570048309179,2.86263828651578,5.29472,53.3953
"147","Franeker Fr - Frjentsjer Fr",4.77142857142857,2.93735086692954,5.54106,53.19
"149","Garderen Gl",5.06192660550459,2.87297085848722,5.73016,52.2396
"150","Gasselte Dr",4.52584269662921,2.90647352787486,6.79061,52.9743
"152","Geldrop NB",4.56492027334852,3.04250375848067,5.56698,51.4297
"153","Genemuiden Ov",4.42567567567568,3.01882708514178,6.04665,52.6302
"157","Gerwen NB",4.62155963302752,3.09787255002741,5.57373,51.4936
"159","Giesbeek Gl",4.97266514806378,2.85704912458147,6.07008,51.9935
"160","Giethoorn Ov",4.52860411899313,3.07415369937294,6.08489,52.7484
"164","Goes Ze",5.01339285714286,2.91577420915876,3.87774,51.5008
"166","Goirle NB",4.6281179138322,2.92263258549205,5.0697,51.5242
"168","Gorssel Gl",4.66589861751152,3.1162253931949,6.20218,52.2055
"169","Gouda ZH",5.328125,2.70965903145926,4.7237,52.0188
"170","Gouderak ZH",5.19471153846154,2.73105516620711,4.68483,51.985
"171","Goudswaard ZH",4.76905829596412,2.85359736851283,4.26912,51.7926
"173","Grave NB",4.52908587257618,3.03435770670573,5.74307,51.7581
"174","Grijpskerk Gn",4.52477477477477,2.91292245047433,6.30885,53.2625
"175","Grijpskerke Ze",4.89438202247191,3.00649097987584,3.55996,51.5284
"176","Groenekan Ut",4.73922902494331,2.92851911272321,5.15861,52.1261
"177","Groenlo Gl",4.749430523918,3.05575343540737,6.62445,52.0475
"178","Groesbeek Gl",4.5626423690205,2.93149239676339,5.93168,51.7801
"179","Gronsveld Lb",4.52142857142857,3.0131591796875,5.74711,50.8135
"181","Grouw Fr - Grou Fr",4.87192118226601,3.02612426757812,5.84357,53.0973
"182","Grubbenvorst Lb",4.67120181405896,3.03114318847656,6.15182,51.4267
"183","Gulpen Lb",4.40281030444965,3.24003684303977,5.90166,50.8194
"185","Haaksbergen Ov",4.39767441860465,3.28311496310764,6.74983,52.164
"186","Haamstede Ze",4.85778781038375,3.05336400082237,3.73065,51.6992
"188","Hallum Fr",4.82469135802469,2.99313647930439,5.77716,53.3119
"190","Haps NB",4.45813953488372,3.07437869480678,5.86751,51.7
"191","Hardenberg Ov",4.44137931034483,3.1537880637429,6.61941,52.5799
"192","Harderwijk Gl",5.05681818181818,2.66856598435787,5.62315,52.3548
"193","Harkema Opeinde Fr - De Harkema Fr",4.87286063569682,3.07412109375,6.14427,53.212
"194","Harlingen Fr - Harns Fr",4.9,3.02798179343895,5.4098,53.1742
"196","Hasselt Ov",4.41355140186916,3.05527066317472,6.10034,52.5932
"197","Hattem Gl",4.28082191780822,3.07909066336496,6.07242,52.4759
"198","Havelte Dr",4.59502262443439,3.06682814213268,6.24506,52.7714
"199","Heerde Gl",4.43507972665148,3.23888544450726,6.04361,52.3916
"200","Heerewaarden Gl",4.75342465753425,2.9035819724754,5.39201,51.8188
"201","Hei- en Boeicop ZH",4.83183856502242,2.99481964111328,5.09143,51.9477
"203","Heinkenszand Ze",4.90582959641256,3.00520083778783,3.81016,51.4762
"204","Heino Ov",4.28378378378378,3.12352150364926,6.24519,52.4367
"207","Hellendoorn Ov",4.29940119760479,3.51035209324049,6.45516,52.3889
"208","Hellevoetsluis ZH",5.02027027027027,2.83072068956163,4.12433,51.8291
"209","Helmond NB",4.61872146118722,2.90205249451754,5.66704,51.4841
