lang,concept_id,phoneme_id,phoneme,phoneme_len,phoneme_loss
云霄,107,1307,t͡s i ã 55 ɡ u e ʔ 0,10,3.548924684524536
云霄,108,1308,s i n 33 t͡s i ã 55,9,3.296722173690796
云霄,116,1316,d͡z i 21 k a u 55 m ĩ 32,11,3.979975938796997
云霄,121,1321,s o u 55 t͡s a i 33,9,3.8199245929718018
云霄,129,1329,t͡s i ã 53 p i a n 32,10,3.224210023880005
云霄,155,1355,s a m 55,5,4.069950103759766
云霄,166,1366,t i n 32,5,3.6092381477355957
云霄,172,1372,l i 55 ʔ a 53,7,3.17145037651062
云霄,176,1376,kʰ i 33 ʔ a 53,7,2.9215431213378906
云霄,212,1412,t͡sʰ a ŋ 33 ʔ a 53,8,2.771023750305176
云霄,214,1414,k i ũ 55,5,4.075247287750244
云霄,224,1424,t͡s ĩ 33 t͡sʰ a ŋ 55,8,3.4989399909973145
云霄,225,1425,h a n 33 t͡s i 32,8,3.9948108196258545
云霄,226,1426,b ɛ 55 l i a n 33 t͡s i 32,12,3.853703737258911
云霄,228,1428,h u a i 33 s a n 55,10,3.897212505340576
云霄,231,1431,l a u 21 k a u 32,9,3.1678593158721924
云霄,261,1461,t͡s i t 5 ʔ a 53,8,2.7209291458129883
云霄,263,1463,l a n 32,5,3.3548805713653564
云霄,267,1467,t͡s i o ŋ 33 t͡s i 32,9,3.62534236907959
云霄,269,1469,l i 33 ʔ a 53,7,2.903406858444214
云霄,279,1480,t i 33 k i ã 55 ʔ a 53,11,2.8636255264282227
云霄,297,1498,ɡ o u 33 ʔ ã i 55,9,3.9975297451019287
云霄,301,1502,t͡sʰ i 33,4,4.529518127441406
云霄,318,1519,ʔ ĩ 33 ʔ a 53,7,2.6745765209198
云霄,321,1522,m u ĩ 33 t i a n 33,10,3.300260066986084
云霄,333,1534,m ĩ 33 t͡s i o ʔ 5,9,3.454375743865967
云霄,337,1538,b a ŋ 55 t a 22,8,4.32111930847168
云霄,344,1545,s a i 55 tʰ a ŋ 33 ʔ a 53,12,2.961238145828247
云霄,353,1554,tʰ i a u 33 k i a n 33 ʔ a 53,14,2.7859015464782715
云霄,371,1572,s ã 33 ʔ a 53,7,2.9900400638580322
云霄,382,1583,kʰ o 53 t͡sʰ i a u 55,9,3.4387776851654053
云霄,387,1588,ʔ a m 33 k i n 55,9,3.116182327270508
云霄,389,1590,l i o 21 t͡s u 33 ʔ a 53,11,3.401909112930298
云霄,393,1594,t͡sʰ i u 55 s o ʔ 12,9,3.9410624504089355
云霄,398,1599,m ĩ 21 h u 55,7,3.657092332839966
云霄,402,1603,p a u 33 ʔ a 53,8,2.709251880645752
云霄,405,1606,h a m 33,5,4.249724864959717
云霄,409,1610,ʔ ĩ 33 ʔ a 53,7,2.6745765209198
云霄,410,1611,t͡s a ŋ 22,5,3.7586960792541504
云霄,441,1642,t͡sʰ u e 55,5,3.9762139320373535
云霄,480,1681,n ã 33 ʔ a u 32,8,4.41674280166626
云霄,482,1683,t͡sʰ i u 55 k u t 5,9,3.650212287902832
云霄,497,1698,kʰ a 33 pʰ i ã 55,8,3.9501185417175293
云霄,512,1713,pʰ u a 55 p ĩ 33,8,4.403183937072754
云霄,514,1715,k a 33 s a u 22,8,3.823604106903076
云霄,518,1719,l a u 53 s a i 53,9,3.1207756996154785
云霄,537,1738,m ɛ̃ 33 l a ŋ 32,8,3.6792874336242676
云霄,546,1747,s i n 33 n i ũ 33 ʔ a 53,12,3.232548475265503
云霄,573,1774,t͡s a u 53 b u n 33 k o ŋ 55,13,3.9460642337799072
云霄,574,1775,b i o 33 ʔ a 53,8,2.9995923042297363
云霄,576,1777,h u e 33 s i ũ 33,9,3.7040622234344482
云霄,577,1778,n ĩ 33 k o u 55,8,3.245321750640869
云霄,592,1793,t͡sʰ i n 33 t͡sʰ e ʔ 5 ɡ o u 21 ɡ u e ʔ 12,18,4.371282577514648
云霄,594,1795,t͡sʰ u 53 p ĩ 55 tʰ a u 22 b u e 53,15,4.570713996887207
云霄,610,1811,t͡sʰ ĩ 33 m ĩ 33 ʔ a 53,10,3.364323377609253
云霄,614,1815,p a i 55 kʰ a 55,8,3.9768691062927246
云霄,623,1824,n i ũ 33 p ɛ 33,8,4.221198081970215
云霄,630,1831,t i ũ 21 ʔ m 53,8,4.109624862670898
云霄,631,1832,t u a 21 k u ã 55,9,2.734370708465576
云霄,643,1844,ʔ i 33 t i ũ 33,8,3.7837815284729004
云霄,654,1855,t͡s i o k 5 p ɛ 21 h i ã 33 t i 33,16,3.8485987186431885
云霄,684,1885,p u a 53 k i 55,8,3.7454452514648438
云霄,690,1891,b o 33 ʔ a 53,7,2.728120803833008
云霄,701,1902,t͡s o 53 s i a n 33 l i 53,12,3.073321580886841
云霄,704,1905,kʰ ɛ 53 t i a m 22,9,3.824843406677246
云霄,712,1913,ɡ i n 33 k a k 5 ʔ a 53,12,3.7015457153320312
云霄,713,1914,p u n 53,5,3.931445360183716
云霄,723,1924,t a u 53 h i 55,8,3.626408100128174
云霄,744,1945,h o ŋ 33 t͡sʰ e 55,8,3.6758837699890137
云霄,745,1946,l a ŋ 21 s a i 55,9,3.65375018119812
云霄,759,1960,tʰ i t 5 tʰ o 32,8,4.290257453918457
云霄,764,1965,pʰ ĩ 33,4,4.136666297912598
云霄,769,1970,kʰ u i 55,5,3.973503828048706
云霄,780,1981,pʰ a 53 k a 33 t͡sʰ i u 22,11,4.047524452209473
云霄,789,1990,d͡z u e 32,5,4.746715545654297
云霄,805,2006,tʰ i a n 22,6,3.0866355895996094
云霄,828,2029,l o ŋ 33,5,3.317370653152466
云霄,855,2056,p i ʔ 5,5,3.7673892974853516
云霄,876,2077,k ã 21 k ã 21 k i o 22,11,5.721652507781982
云霄,882,2083,s i a u 53 l i a m 33,11,3.627230644226074
云霄,891,2092,tʰ o 55 ʔ i a m 22,9,3.9020118713378906
云霄,892,2093,s o ŋ 53,5,3.982729434967041
云霄,937,2138,pʰ o u 33 l a n 21 pʰ a 55,12,4.194767475128174
云霄,952,2153,kʰ u a ʔ 5,6,2.8185129165649414
云霄,1013,2214,ʔ u ã 22,5,3.623185396194458
云霄,1021,2222,l a u 33,5,3.585541248321533
云霄,1029,2230,h o 55 kʰ a ŋ 55,8,3.656916379928589
云霄,1053,2254,b a i 53,5,3.4282429218292236
云霄,1056,2257,ʔ m 21 t i o ʔ 12,9,3.396918773651123
云霄,1061,2262,k u a i 55,6,4.121395111083984
云霄,1082,2283,t͡s i t 21 p ɛ ʔ 5,9,3.1852211952209473
云霄,1083,2284,t͡s i t 21 t͡sʰ i a n 55,10,3.3362388610839844
云霄,1087,2288,t e i 21 ʔ i t 5,9,4.272426128387451
云霄,1096,2297,t͡s i a ʔ 5,6,2.4186840057373047
云霄,1100,2301,b u e 53,5,3.284510850906372
云霄,1101,2302,b u e 53,5,3.284510850906372
云霄,1115,2316,k i a n 55,6,2.821720838546753
云霄,1118,2319,t i a u 32,6,2.8074703216552734
云霄,1125,2326,t͡s i o ŋ 53,6,3.1681766510009766
云霄,1127,2328,kʰ o u 55,5,3.9343833923339844
云霄,1142,2343,l a n 53,5,3.636387348175049
云霄,1148,2349,ɡ u a n 55 n i ũ 33 p ɛ 33,13,4.814127445220947
云霄,1152,2353,h i t 5 ɡ e 0,8,3.7474119663238525
云霄,1159,2360,ʔ a n 33 h i ã 33,9,3.318570137023926
云霄,1165,2366,t͡s i a ŋ 53,6,3.342761993408203
云霄,1167,2368,ɡ u a 53 t͡s e i 33,9,4.143233299255371
云霄,1189,2390,m ã i 22,5,4.794765949249268
仙游城关,5,2405,tʰ a i 21 h ɒ ŋ 533,9,2.9070639610290527
仙游城关,23,2423,p i ŋ 533,5,3.663921356201172
仙游城关,34,2434,kʰ ɒ ŋ 42 ŋ a n 21,9,4.518472671508789
仙游城关,36,2436,tʰ i ŋ 55 k ŋ 533,8,4.024618148803711
仙游城关,43,2443,k a ŋ 533,5,3.3779971599578857
仙游城关,69,2469,h u o ŋ 533,6,2.628211259841919
仙游城关,78,2478,t a 533,4,4.545766830444336
仙游城关,81,2481,ɬ u o t 2 ɬ e 55 n a ŋ 24,13,3.719756603240967
仙游城关,83,2483,k o 55 n i ŋ 24,8,3.694359302520752
仙游城关,86,2486,ɬ o 21 n i ŋ 24,8,3.202845573425293
仙游城关,94,2494,ɬ o u 24 ʔ o u 42,9,3.9232568740844727
仙游城关,105,2505,m ã i 21 n a u 24,9,4.5692138671875
仙游城关,107,2507,t͡s i ã 21 ʔ u o i 24,10,3.3468258380889893
仙游城关,108,2508,t͡sʰ ø 21 ʔ i t 23 t͡s ɒ 453,11,4.793185234069824
仙游城关,116,2516,ɬ ɒ̃ 21 l ɛ p 2 m ã 21 ʔ u ĩ 533,15,4.618505954742432
仙游城关,121,2521,ʔ u i 55 t͡sʰ y 42,8,4.518339157104492
仙游城关,129,2529,t͡s i ã 55 m ĩ 24,8,3.5981578826904297
仙游城关,155,2555,ɬ a ŋ 533,5,3.2409839630126953
仙游城关,166,2566,t i ŋ 24,5,3.233790636062622
仙游城关,172,2572,l i 21 ʔ ã 453,7,3.4964354038238525
仙游城关,176,2576,ʔ a ŋ 42 kʰ i 21,8,3.4593405723571777
仙游城关,212,2612,t͡sʰ a ŋ 533,5,3.184826374053955
仙游城关,214,2614,k i ũ 21 m o 453,8,4.073978424072266
仙游城关,224,2624,p u o i 55 l i 24,9,2.9378018379211426
仙游城关,225,2625,h ɒ n 21 n y 24,8,3.4599084854125977
仙游城关,226,2626,m a 55 l ɛ n 21 ɬ y 24,11,4.20205020904541
仙游城关,228,2628,h u o i 21 l a ŋ 533,10,2.9216740131378174
仙游城关,231,2631,ʔ a ŋ 21 k a u 24,9,3.1315500736236572
仙游城关,261,2661,t͡s i p 23 p o 453,8,3.8760557174682617
仙游城关,263,2663,l ɛ ŋ 24,5,3.2576751708984375
仙游城关,267,2667,ɬ ɛ n 21 ɬ y 24,8,4.128280162811279
仙游城关,269,2669,l y 24,4,4.186735153198242
仙游城关,279,2680,t y 21 ʔ ã 453,7,3.488157033920288
仙游城关,297,2698,k y a 24,5,3.2339859008789062
仙游城关,301,2702,t͡sʰ i 42,4,3.481163501739502
仙游城关,318,2719,l a u 21 k o u 533,9,3.2199923992156982
仙游城关,321,2722,m u ĩ 21 n a u 24,9,3.125910997390747
仙游城关,333,2734,m i n 55 n y 42,8,3.6732230186462402
仙游城关,337,2738,m a n 24 n i ɛ u 42,10,3.3665413856506348
仙游城关,344,2745,t͡sʰ o u 21 l a ŋ 453,9,3.2787439823150635
仙游城关,353,2754,t i ɛ u 21 ʔ ɛ ŋ 533,10,2.7611565589904785
仙游城关,371,2772,ɬ ɒ̃ 533,4,5.134922981262207
仙游城关,382,2783,kʰ o u 55 t͡sʰ a u 533,9,3.865426778793335
仙游城关,387,2788,ʔ u i 21 k y ŋ 533,9,3.6048502922058105
仙游城关,389,2790,l i ɛ u 42 ɬ o u 21,10,4.0922651290893555
仙游城关,393,2794,t͡sʰ i u 21 ɬ o 24,8,3.8227620124816895
仙游城关,398,2799,m i m 21 m u o i 24,10,3.4629197120666504
仙游城关,402,2803,p a u 533,5,3.804853916168213
仙游城关,405,2806,ʔ ɒ̃ 21,4,5.802643775939941
仙游城关,409,2810,k u o i 21 ʔ i ã 453,10,2.6870155334472656
仙游城关,410,2811,t͡s a ŋ 42,5,3.4500668048858643
仙游城关,441,2842,t͡sʰ u o i 533,6,3.116478681564331
仙游城关,480,2881,ŋ ĩ 21 n a u 24,8,3.341465950012207
仙游城关,482,2883,t͡sʰ i u 21 l o u 453,9,3.0041632652282715
仙游城关,497,2898,k ɒ 24 l i a 21,8,3.318653106689453
仙游城关,512,2913,ʔ ŋ 21 h o 453,7,4.544377326965332
仙游城关,514,2915,h ɒ 21 β ɒ 24,7,4.157139301300049
仙游城关,518,2919,p u o t 2 l o u 453 l ɒ 24,13,3.364130973815918
仙游城关,537,2938,m i n 21 n a ŋ 24,9,2.8567354679107666
仙游城关,546,2947,ɬ i m 21 m a ŋ 24,9,2.9223203659057617
仙游城关,573,2974,t͡s a u 55 ʔ ɒ ŋ 533,9,3.407212257385254
仙游城关,574,2975,k y ø m 24 m i ɛ u 21,11,3.4741928577423096
仙游城关,576,2977,h ɒ 42 l y ø ŋ 21,9,3.3577213287353516
仙游城关,577,2978,ɬ a i 21 ʔ o u 533,9,2.9984793663024902
仙游城关,592,2993,t͡sʰ i n 21 n i ã 24,9,3.090817451477051
仙游城关,594,2995,t͡sʰ o u 55 ʔ i n 21 n i 533,12,3.5061798095703125
仙游城关,610,3011,t͡sʰ ã 21 m ã 24,7,3.8997814655303955
仙游城关,614,3015,kʰ o u 21 ʔ ɒ 533,8,3.339719295501709
仙游城关,623,3024,l a u 42 ʔ ɒ 21,8,3.0795936584472656
仙游城关,630,3031,t i 21 ʔ i ŋ 453,8,3.7269389629364014
仙游城关,631,3032,t y ø k 2 k u ã 533,10,2.8475546836853027
仙游城关,643,3044,ʔ i 42 n i ũ 21,8,3.8928298950195312
仙游城关,654,3055,ɬ u o p 2 p ɛ k 23 h i ã 24 n i 21,17,3.740373134613037
仙游城关,684,3085,l i a 24,5,3.305773973464966
仙游城关,690,3091,p o 21,4,3.6693620681762695
仙游城关,701,3102,t͡s o 55 l ɛ n 21 n i 453,11,3.2800848484039307
仙游城关,704,3105,kʰ a 42 t͡s a ŋ 21,8,4.6299896240234375
仙游城关,712,3113,ʔ ɒ ŋ 21 ŋ u o ŋ 21 ŋ i ã 453,14,3.1148433685302734
仙游城关,713,3114,p u ĩ 453,5,3.4475581645965576
仙游城关,723,3124,k a ŋ 21 h y 533,8,4.148331642150879
仙游城关,744,3145,t͡s y a 24 ʔ i ũ 21,9,4.353775501251221
仙游城关,745,3146,l a n 21 ɬ a i 533,9,3.502002716064453
仙游城关,759,3160,tʰ a 55 l i ɛ u 24,9,3.2599356174468994
仙游城关,760,3161,t͡s o 55 n a ŋ 42 ŋ a 21,11,3.390446662902832
仙游城关,764,3165,p i 21,4,4.52369499206543
仙游城关,769,3170,p a 21,4,3.473574161529541
仙游城关,780,3181,h a t 23 t͡sʰ i ũ 453,9,4.162806510925293
仙游城关,789,3190,l u o i 24,6,4.0846099853515625
仙游城关,805,3206,tʰ ɛ ŋ 453,5,3.32232928276062
仙游城关,828,3229,tʰ u 21,4,4.518783092498779
仙游城关,855,3256,p i 21,4,4.52369499206543
仙游城关,876,3277,h u a 24,5,3.029865264892578
仙游城关,882,3283,ɬ u ã 42,5,3.263674259185791
仙游城关,891,3292,t͡sʰ y ø ŋ 533,6,2.9044551849365234
仙游城关,892,3293,kʰ i ɛ u 55 ʔ u a 533,10,3.1625924110412598
仙游城关,937,3338,pʰ o u 21 l ɛ m 21 pʰ ɒ 533,12,4.453119277954102
仙游城关,952,3353,kʰ u a 42 l ɒ ŋ 0,9,4.673725605010986
仙游城关,1013,3414,ʔ u ã 42,5,3.6533901691436768
仙游城关,1021,3422,l a u 21,5,3.2720818519592285
仙游城关,1029,3430,t͡s a i 21 l o u 453,9,3.199040412902832
仙游城关,1053,3454,t͡sʰ u o ŋ 42,6,2.7123262882232666
仙游城关,1056,3457,t ɒ 21,4,3.6330811977386475
仙游城关,1061,3462,k u o i 533,6,3.1525261402130127
仙游城关,1082,3483,ɬ u o p 23 p a 21,9,3.111863613128662
仙游城关,1083,3484,ɬ u o t 2 t͡sʰ ĩ 533,9,4.060000896453857
仙游城关,1087,3488,t e 42 ʔ i ʔ 2,8,4.095849990844727
仙游城关,1096,3497,t͡s i a 21,5,2.8478078842163086
仙游城关,1100,3501,p u o i 453,6,2.7342841625213623
仙游城关,1101,3502,p u o i 453,6,2.7342841625213623
仙游城关,1115,3516,t i ũ 533,5,3.87188458442688
仙游城关,1118,3519,t i ɛ u 24,6,2.6950299739837646
仙游城关,1125,3526,ɬ u o ŋ 21,6,3.2914798259735107
仙游城关,1127,3528,k e 24,4,3.132354259490967
仙游城关,1142,3543,n a 24 m u o i 0,9,4.1789069175720215
仙游城关,1148,3549,k u a p 23 p a 21 p a 533,12,3.6604270935058594
仙游城关,1152,3553,h ɛ k 23 k e 24,8,3.7518110275268555
仙游城关,1159,3560,ʔ a n 55 n ã 533,8,3.1903183460235596
仙游城关,1165,3566,n ɛ 453,4,5.7707672119140625
仙游城关,1167,3568,l i ɛ u 42 ʔ u a 0,10,4.005679130554199
仙游城关,1189,3590,ʔ n 21 n a i 453,8,2.924691677093506
光泽,5,3605,h a i 22 p i ɔ ŋ 21,10,3.206401824951172
光泽,23,3623,p ɛ n 21,5,4.104458808898926
光泽,34,3634,h i ə n 21 k ɔ n 21,10,2.7622036933898926
光泽,36,3636,h i ə n 21 k u ɔ ŋ 21,11,2.8101911544799805
光泽,43,3643,h a i 55 kʰ ɛ i 21,9,3.5072731971740723
光泽,69,3669,ʔ i ə n 21,6,3.2246484756469727
光泽,78,3678,h i ə n 35 tʰ a i 44,10,3.7965054512023926
光泽,81,3681,k ɛ i 41 p e i 35 t͡s ɛ 0,12,3.2217941284179688
光泽,83,3683,m a n 22 n i n 41,9,3.54282546043396
光泽,86,3686,tʰ i n 41 n i n 41,9,3.1129207611083984
光泽,94,3694,tʰ ɔ m 44 m a ŋ 22,9,3.621598243713379
光泽,105,3705,ʔ ɔ m 35 m a ŋ 22,9,3.4301414489746094
光泽,107,3707,t͡ɕ i a ŋ 21 v i ɛ ʔ 5,11,3.224386692047119
光泽,108,3708,h a i 55 tʰ u 21 n i ɛ 41,12,3.5878355503082275
光泽,116,3716,s a m 21 ɕ i 41 m a ŋ 22,12,3.4908344745635986
光泽,121,3721,tʰ i 55 f ɔ ŋ 21,8,3.8598639965057373
光泽,129,3729,t͡ɕ i a ŋ 35 p i ə n 21,11,3.0018911361694336
光泽,155,3755,s a m 21 t͡ɕʰ y 35,8,3.400972843170166
光泽,166,3766,h ɛ n 22,5,3.6923439502716064
光泽,172,3772,l i 22 ʔ ɛ 0,7,2.826838731765747
光泽,176,3776,s ɛ 55 t͡s ɛ 0,7,3.0495693683624268
光泽,212,3812,tʰ o ŋ 21,5,3.079256534576416
光泽,214,3814,k i o ŋ 21,6,3.6753571033477783
