lang	avg_len	shannon	test_shannon	test_loss	test_acc	best_epoch	val_loss	val_acc
Breda NB	5.245614035087719	4.572572308103609	4.499957563755948	4.026302404570997	0.1573033779859542	26.0	5.682247161865234	0.1484848409891128
Bredevoort Gl	4.982142857142857	4.52487560285641	4.457910853194788	4.249153137207031	0.1522388011217117	29.0	5.771411895751953	0.1293375492095947
Breskens Ze	4.473684210526316	4.707831404240519	4.635584535728375	4.392810486910636	0.160256415605545	21.0	6.122096061706543	0.167857140302658
Brielle ZH	4.859649122807017	4.5494018952954445	4.40718753417664	4.038035342567845	0.14371258020401	23.0	5.518994331359863	0.1592356711626052
Brouwershaven Ze	5.109090909090909	4.645146278850412	4.524587717273203	4.235354336825284	0.1339285671710968	31.0	5.831548690795898	0.1565495133399963
Brummen Gl	4.875	4.602793441317093	4.550017693962759	4.340472630092076	0.1428571492433548	29.0	5.949589729309082	0.1485148519277572
Brunssum Lb	4.481481481481482	4.6385453404626285	4.501051066938204	4.335045143410012	0.1621621698141098	27.0	6.024053573608398	0.1891891956329345
Budel NB	4.642857142857143	4.564137733276535	4.432371939082832	4.234448841639927	0.145569622516632	22.0	5.799983978271484	0.1824324429035186
Buurmalsen Gl	4.732142857142857	4.648898730333896	4.59198603197178	4.348893301827567	0.1651090234518051	26.0	5.860562324523926	0.1887417286634445
Callantsoog NH	4.964912280701754	4.5172464141828215	4.411803466349401	4.115497789884868	0.1735294163227081	27.0	5.883251667022705	0.162420392036438
Coevorden Dr	4.581818181818182	4.642782778782963	4.567788731285307	4.198242742365057	0.1726384311914444	25.0	5.677968978881836	0.1762711852788925
Culemborg Gl	4.773584905660377	4.581709266881929	4.389512892214094	4.193367148345372	0.1732026189565658	27.0	5.73054313659668	0.1927272677421569
Dalfsen Ov	4.631578947368421	4.57053344147714	4.630980023847086	4.420225444592927	0.1557632386684417	25.0	5.941719055175781	0.1408450603485107
De Lier ZH	4.962264150943396	4.573571987408519	4.424669487444975	4.028332116468897	0.1424050629138946	32.0	5.434568405151367	0.1723076999187469
De Lutte Ov	4.264150943396227	4.639116352747056	4.516035745060988	4.287023292397553	0.1648745536804199	26.0	6.169341087341309	0.1598512977361679
De Rijp NH	4.964285714285714	4.65824720730698	4.569121897825837	4.1984694344656805	0.1616766452789306	25.0	5.898921012878418	0.1555555611848831
Dedemsvaart Ov	4.571428571428571	4.6499466410558	4.601554409349002	4.310699462890625	0.1634615361690521	22.0	5.7704033851623535	0.1379310339689254
Deil Gl	5.107142857142857	4.578960823379686	4.476060039878749	4.27735710144043	0.1608187109231948	27.0	5.819175720214844	0.1744966506958007
Delden Ov	4.303571428571429	4.850113547175615	4.707711439247286	4.487970079694476	0.1683501601219177	25.0	6.019068241119385	0.1549815535545349
Delft ZH hoog	5.052631578947368	4.445350439547759	4.371545241408253	4.037256073533443	0.1217391341924667	26.0	5.640990257263184	0.1376146823167801
Delft ZH laag	5.0701754385964914	4.590318668426997	4.510564101422532	4.330018696032073	0.1502890139818191	56.0	5.756626605987549	0.1636363565921783
Den Dungen NB	4.754385964912281	4.6474704008810575	4.533260949493452	4.3212440892269735	0.1432926803827285	26.0	5.959959030151367	0.1742160320281982
Den Ham Ov	4.490909090909091	4.79976312433867	4.734571760943278	4.520525013316761	0.1622516512870788	24.0	6.076114654541016	0.1484098881483078
Den Hoorn NH	4.842105263157895	4.5514643757782265	4.424312397297478	4.176144783956962	0.1651651710271835	25.0	5.973806858062744	0.1766561567783355
