lang	avg_len	lstm
Westerbork Dr	4.491228070175438	4.033692477042215
Westkapelle Ze	4.892857142857143	4.294351305280413
Wierden Ov	4.528301886792453	4.678962563568691
Wijdenes NH	4.789473684210527	4.263273004899945
Wijhe Ov	4.508771929824562	4.529367547286184
Wijk bij Duurstede Ut	4.87719298245614	4.214458532500685
Willemstad NB	4.696428571428571	4.227163587297712
Wilp Gl	4.821428571428571	4.336339133126395
Windesheim Ov	4.5	4.420629713270399
Winterswijk Gl	5.142857142857143	4.351205008370536
Wissenkerke Ze	4.946428571428571	4.213459559849331
Woudenberg Ut	4.982142857142857	4.127471923828125
Wouw NB	4.789473684210527	4.001929567571272
Zaandijk NH	4.87719298245614	4.154896250942297
Zalk Ov	4.481481481481482	4.30636540165654
Zandvoort NH	4.854545454545455	4.170427357066761
Zeddam Gl	5.181818181818182	3.925689697265625
Zeeland NB	4.666666666666667	4.145029703776042
Zegveld Ut	5.43859649122807	3.661089445415296
Zelhem Gl	5.12280701754386	4.283138342070997
Zetten Gl	4.745454545454545	4.02302079634233
Zevenaar Gl	4.589285714285714	4.295204707554409
Zevenbergen NB	4.75	4.26151248386928
Zierikzee Ze	5.017857142857143	4.260117939540318
Zieuwent Gl	4.964912280701754	4.209204422800164
Zoetermeer ZH	5.517857142857143	3.907784870692662
Zoutkamp Gn	4.508771929824562	4.31396056058114
Zuiddorpe Ze	4.767857142857143	4.24639892578125
Zuid-Sleen Dr	4.631578947368421	4.104666726631031
Zuidzande Ze	4.607142857142857	4.2730304173060825
Zundert NB	4.894736842105263	4.232704296446683
Zutphen Gl	5.228070175438597	4.07797348290159
Zwartsluis Ov	4.508771929824562	4.301334314179003
Zwinderen Dr	4.508771929824562	4.181756805955318
Zwolle Ov	4.7368421052631575	4.38264733030085
